CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
,,"HERD, financed by industry, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, % of total HERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, % of total GERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6983.952,30149.582,,,,,,,57.919,,,874.993,,,523,,,,,,,,,6.757,,,55.1,,,,,,,,48.77,,,,,,,,,,4552.1,296.4,,,,,13.9,,,,56621,,,,,,,,5.9,,,,,,25.023,,,,,,,,0.051,,,,201.255,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,135.8,,,740658.209,,30.674,24028.4,,,,,,,,,,,,,,6.499,9.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.9,,3616,,,,,,,,,,,4735.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.595,8698.746,,,,,,,15.816,,,68.42,,,71.879,,,,,,,,,12.715,,,60.971,,,,,,,,79.234,,,,,,,,,,34.868,2.114,,,,,17.288,,,,552.316,,,,,,,,11.922,,,,,,55.607,,,,,,,,0.089,,,,23.957,,,,,,,,,,,,434.57,,,,,,,,,,,,,,,,,77.056,,,833.391,,17.866,1064.516,,,,,,,,,,,,,,13.409,16.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.759,,3616,,,,,,,,,,,312.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.654,8018.512,,,,,,,14.553,,,60.18,,,65.305,,,,,,,,,11.405,,,54.753,,,,,,,,71.054,,,,,,,,,,31.534,1.872,,,,,14.66,,,,505.98,,,,,,,,10.641,,,,,,51.263,,,,,,,,0.082,,,,22.118,,,,,,,,,,,,397.855,,,,,,,,,,,,,,,,,70.365,,,827.8,,16.325,984.331,,,,,,,,,,,,,,12.583,14.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.072,,3327.468,,,,,,,,,,,287.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, % of total HERD",,,,,,,,,,,,,,,,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,,,,,2.984,30.192,,,,,,,,,,3.962,,,2.614,,,,,,,,,5.397,,,3.722,,,,,13.873,,,7.576,,,,,,,,,,8.022,2.003,,,,,3.158,,,,2.645,,,,,,,,7.804,,,,,,,,,,,,,,,,,,0.718,,,,,,,,,,,,8,,4.583,,,,,3.134,,,,,,,,,,2.604,,,12.347,,5.057,27.389,,,,,,,,,,,,,,1.601,11.383,,,,5.694,,,,,,9.782,,,,,,,,,,,15.11,,,,,,,4.265,,5.436,,,,,,,,,,,9.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.381,,,,,,,,,,,,,,,,,,,,6.164,,,,,,,,,,,,
,,"HERD, financed by industry, % of total GERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,2.128,,,,,,,2.03,,,0.987,,,0.872,,,,,,,,,2.232,,,0.908,,,,,,,,2.862,,,,,,,,,,0.972,0.611,,,,,,,,,0.325,,,,,,,,3.874,,,,,,6.466,,,,,,,,0.075,,,,0.207,,,,,,,,,,,,2.568,,,,,,,,,,,,,,,,,0.752,,,1.123,,0.882,2.627,,,,,,,,,,,,,,0.701,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.092,,0.719,,,,,,,,,,,0.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
