CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>>GERD, financed by higher education",Latest available,,,,,,,,,G_HEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,1.436,,,,,,,,,,,,11.489,,,,,,,,0.035,,,,,,,161.008,,258.095,,,,,,14.581,,,43.178,,,,,,,,,,,,1.068,,,18.185,,,,,,,,61.147,,,,,,,,,,,12.73,,,,4.152,,,,,8439.945,,,,,,0.056,,6.132,,,,,,11.694,,4.999,,,682.987,,,1.292,,,,379.963,,,4.987,2.229,,,13.79,,,,,26.145,,,,,,,,91.297,537.255,,,,,1.482,,,205.914,,,474.665,,31.412,445.502,,,,,,,,,,186.94,,,,58.484,4.365,,,,,,,,,,,,,350.309,29.818,,,,,,,,,,,,3.247,,519.978,,15760.382,,,,,,,,,,,225.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, % of total GERD",,,,,,,,,,,,,,,,,,,,,0.414,,,,,,,,,,,,14.072,,,,,,,,0.061,,,,,,,11.116,,17.361,,,,,,2.034,,,0.708,,,,,,,,,,,,0.209,,,0.301,,,,,,,,2.463,,,,,,,,,,,4.155,,,,2.091,,,,,5.417,,,,,,0.25,,2.232,,,,,,1.475,,6.239,,,6.978,,,1.185,,,,3.558,,,9.682,6.429,,,13.32,,,,,0.169,,,,,,,,22.758,25.518,,,,,2.053,,,2.2,,,0.644,,1.697,1.189,,,,,,,,,,24.024,,,,3.258,0.339,,,,,,,,,,,,,5.519,24.98,,,,,,,,,,,,0.169,,1.235,,3.406,,,,,,,,,,,0.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, % of GDP",,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,0.031,,,,,,,,0,,,,,,,0.043,,0.042,,,,,,0.017,,,0.014,,,,,,,,,,,,0.003,,,0.009,,,,,,,,0.024,,,,,,,,,,,0.091,,,,0.001,,,,,0.178,,,,,,0,,0.014,,,,,,0.015,,0.008,,,0.091,,,0.009,,,,0.019,,,0.015,0.024,,,0.045,,,,,0.003,,,,,,,,0.056,0.063,,,,,0.003,,,0.022,,,0.027,,0.008,0.013,,,,,,,,,,0.208,,,,0.038,0.008,,,,,,,,,,,,,0.034,0.111,,,,,,,,,,,,0.001,,0.021,,0.095,,,,,,,,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, compound annual growth rate at constant prices, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million NC",,,,,,,,,,,,,,,,,,,,,1,,2.695,,,,,,,,,,8.598,,1466.799,,,0.304,,,,,3269,,,,,52819.897,,391108.384,,,,,,53.667,,4.674,469.284,,,,,,,56.748,,10.292,,,2.557,,,14.7,487.211,,,,,,,41.56,,,,,,,,,8,,1947.6,,,,,21.1,,233.41,,968587.456,,,,,,0.997,,3.8,,,,,,0.649,,15.031,,,532.91,,,0.774,,,,3143.015,,,1589.5,0.523,,,,,28.324,,,22.442,,,,,,,,1.779,,,,,,4129.909,,,360.1,93.011,,418579.092,,36.894,9069.2,,,,,,,,,,7781.263,,,166.942,14.73,4.573,,,,531.977,,,,,,,,,10837,,,,,,,,3241.22,,,,,16.6,,379.2,,16066,2642.931,,,,,,,,,,3843.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million USD PPPs",,,,,,,,,,,,,,,,,,,,,2.817,,13.276,,,,,,,,,,12.3,,839.13,,,0.479,,,,,2644.059,,,,,145.658,,330.719,,,,,,14.512,,7.372,37.083,,,,,,,101.517,,20.961,,,4.859,,,16.234,605.795,,,,,,,67.3,,,,,,,,,1.423,,14.091,,,,,25.88,,317.805,,9456.404,,,,,,0.049,,7.658,,,,,,1.433,,2.757,,,371.107,,,1.375,,,,392.938,,,2.5,1.445,,,,,4.883,,,28.004,,,,,,,,9.615,,,,,,1.759,,,204.8,161.153,,480.857,,21.77,426.565,,,,,,,,,,191.022,,,197.099,30.526,7.835,,,,803.253,,,,,,,,,878.628,,,,,,,,2824.9,,,,,3.906,,547.776,,16066,141.872,,,,,,,,,,258.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,2.617,,12.323,,,,,,,,,,11.438,,780.686,,,0.445,,,,,2474.764,,,,,131.409,,307.607,,,,,,13.498,,6.854,32.599,,,,,,,94.466,,19.475,,,4.36,,,14.845,552.099,,,,,,,59.918,,,,,,,,,1.324,,13.03,,,,,23.339,,287.942,,8825.783,,,,,,0.045,,6.881,,,,,,1.333,,2.564,,,345.121,,,1.278,,,,354.131,,,2.325,1.345,,,,,4.543,,,25.532,,,,,,,,8.919,,,,,,1.636,,,187.717,146.112,,478.165,,20.107,400.06,,,,,,,,,,177.673,,,183.328,28.456,6.966,,,,731.822,,,,,,,,,817.217,,,,,,,,2642.947,,,,,3.633,,504.222,,14943.107,131.957,,,,,,,,,,240.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, % of total GERD",,,,,,,,,,,,,,,,,,,,,0.808,,21.221,,,,,,,,,,11.983,,2.208,,,0.046,,,,,9.477,,,,,9.478,,20.595,,,,,,2.068,,5.558,0.551,,,,,,,12.602,,48.577,,,0.892,,,0.226,1.017,,,,,,,2.792,,,,,,,,,0.048,,4.821,,,,,0.711,,1.047,,5.543,,,,,,0.198,,2.334,,,,,,0.172,,3.906,,,3.814,,,1.279,,,,3.391,,,3.201,4.164,,,,,6.004,,,0.169,,,,,,,,2.685,,,,,,2.901,,,2.227,4.167,,0.657,,1.444,1.07,,,,,,,,,,25.865,,,1.958,2.2,0.514,,,,4.149,,,,,,,,,17.069,,,,,,,,18.418,,,,,0.161,,1.239,,3.352,59.155,,,,,,,,,,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, % of GDP",,,,,,,,,,,,,,,,,,,,,0.002,,0.021,,,,,,,,,,0.031,,0.025,,,0,,,,,0.165,,,,,0.035,,0.052,,,,,,0.016,,0.027,0.011,,,,,,,0.055,,0.041,,,0.013,,,0.007,0.023,,,,,,,0.023,,,,,,,,,0,,0.097,,,,,0.011,,0.014,,0.189,,,,,,0,,0.016,,,,,,0.002,,0.003,,,0.048,,,0.009,,,,0.018,,,0.007,0.015,,,,,0.02,,,0.003,,,,,,,,0.006,,,,,,0.003,,,0.021,0.054,,0.028,,0.006,0.011,,,,,,,,,,0.199,,,0.043,0.019,0.012,,,,0.051,,,,,,,,,0.082,,,,,,,,0.159,,,,,0.001,,0.021,,0.092,0.199,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
