CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>Doctorate graduates (ISCED2011 level 8), all fields",Latest available,,,,,,,,,PHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates (ISCED2011 level 8), number",,,,,,,,,,,,,,,,1173,,,4045,974,,,,,,,1054,,,,,,,,,,,,,,,,3186,,,,,272,,128,,,,33,,,,,1040,,,852,,,,,,,,,139,,,961,5873,,,,12256,,,691,,,,,,,,,,495,26,9113,,,,747,804,5557,,4953,,,,,,,,181,,,,,,260,25,,,,,,,,,,,2409,,,,,,,,,,,,1997,,637,,,,,741,,,,,,,,,,,2271,,4274,,,,,,,,,,,106,,,,,,1091,625,,,,5237,,,,,1542,1589,,,,,,,,,,,3938,,,,,,,12033,,32131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates (ISCED2011 level 8), % of total",,,,,,,,,,,,,,,,56.178,,,49.932,43.716,,,,,,,42.776,,,,,,,,,,,,,,,,45.134,,,,,45.868,,39.628,,,,44,,,,,42.746,,,45.127,,,,,,,,,59.657,,,50.606,43.766,,,,44.234,,,45.252,,,,,,,,,,46.305,47.273,37.502,,,,48.76,52.174,51.998,,30.071,,,,,,,,57.46,,,,,,58.957,39.063,,,,,,,,,,,48.055,,,,,,,,,,,,46.216,,49.533,,,,,47.837,,,,,,,,,,,54.657,,33.853,,,,,,,,,,,23.556,,,,,,51.487,53.648,,,,49.857,,,,,46.099,43.762,,,,,,,,,,,45.088,,,,,,,46.467,,49.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Doctorate graduates,(ISCED2011 level 8) number",,,,,,,,,,,,,,,,,,,7166,2398,,,,,,,2373,,,,,,,,,,,,,,,,6396,,,,,540,,,,,,,,,,,2683,,,1640,,,,,,,,,190,,,1828,13278,,,,,,,1734,,,,,,,,,,1242,,,,,,1447,1586,11458,,16286,,,,,,,,267,,,,,,,57,,,,,,,,,,,5119,,,,,,,,,,,,4040,,1053,,,,,1408,,,,,,,,,,3590,2877,,12243,,,,,,,,,,,,,561,,,,2181,1158,,,,9483,375,1583,,,,3650,,331,2119,,,,,,,962,8734,,,,,9248,10,20438,,62108,,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates (ISCED2011 level 8), number",,,,,,,,,,,,,,,,,,,3594,1002,,,,,,,1039,,,,,,,,,,,,,,,,2925,,,,,209,,,,,,,,,,,1112,,,767,,,,,,,,,96,,,941,5761,,,,,,,761,,,,,,,,,,577,,,,,,712,823,6099,,4827,,,,,,,,160,,,,,,,29,,,,,,,,,,,2451,,,,,,,,,,,,1815,,532,,,,,677,,,,,,,,,,1911,1617,,4015,,,,,,,,,,,,,270,,,,1063,661,,,,4604,169,584,,,,1575,,36,1055,,,,,,,,3938,,,,,5162,8,9415,,30727,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates (ISCED2011 level 8), % of total",,,,,,,,,,,,,,,,,,,50.154,41.785,,,,,,,43.784,,,,,,,,,,,,,,,,45.732,,,,,38.704,,,,,,,,,,,41.446,,,46.768,,,,,,,,,50.526,,,51.477,43.388,,,,,,,43.887,,,,,,,,,,46.457,,,,,,49.205,51.892,53.229,,29.639,,,,,,,,59.925,,,,,,,50.877,,,,,,,,,,,47.88,,,,,,,,,,,,44.926,,50.522,,,,,48.082,,,,,,,,,,53.231,56.204,,32.794,,,,,,,,,,,,,48.128,,,,48.739,57.081,,,,48.55,45.067,36.892,,,,43.151,,10.876,49.788,,,,,,,,45.088,,,,,55.817,80,46.066,,49.473,,,,,17.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Doctorate graduates,(ISCED2011 level 8) number",,,,,,,,,,,,,,,,,,,6849,2345,,,,,,,,,,,,,,,,,,,,,,,5906,,,,,461,,,,,,,,,,,2462,,,1569,,,,,,,,,250,,,1843,13188,,,,,,,1685,,,,,,,,,,1234,,,,,,1447,1536,11270,,15910,,,,,,,,,,,,,,,,,,,,,,,,,,3795,,,,,,,,,,,,3715,,1106,,,,,1297,,,,,,,,,,3055,2085,,11645,,,,,,,,,,,,,596,,,,1672,1239,,,,8747,291,,,25,,3491,317,,1933,,,,,,,959,9635,,,,,8918,5,20076,,59876,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates (ISCED2011 level 8), number",,,,,,,,,,,,,,,,,,,3447,978,,,,,,,,,,,,,,,,,,,,,,,2626,,,,,195,,,,,,,,,,,1064,,,714,,,,,,,,,131,,,978,5612,,,,,,,644,,,,,,,,,,585,,,,,,712,783,5993,,4696,,,,,,,,,,,,,,,,,,,,,,,,,,1732,,,,,,,,,,,,1626,,548,,,,,596,,,,,,,,,,1575,1149,,3687,,,,,,,,,,,,,288,,,,847,662,,,,4149,110,,,,,1510,103,,1059,,,,,,,505,4333,,,,,4838,3,9080,,29441,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates (ISCED2011 level 8), % of total",,,,,,,,,,,,,,,,,,,50.329,41.706,,,,,,,,,,,,,,,,,,,,,,,44.463,,,,,42.299,,,,,,,,,,,43.217,,,45.507,,,,,,,,,52.4,,,53.066,42.554,,,,,,,38.22,,,,,,,,,,47.407,,,,,,49.205,50.977,53.177,,29.516,,,,,,,,,,,,,,,,,,,,,,,,,,45.639,,,,,,,,,,,,43.769,,49.548,,,,,45.952,,,,,,,,,,51.555,55.108,,31.662,,,,,,,,,,,,,48.322,,,,50.658,53.43,,,,47.433,37.801,,,,,43.254,32.492,,54.785,,,,,,,52.659,44.971,,,,,54.25,60,45.228,,49.17,,42.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
