CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Private non-profit expenditure on R&D,Latest available,,,,,,,,,PNPERD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, % of GERD",,,,,,,,,,,,,,,,,,,,0.414,0.248,,,,,0.011,0.342,,,99.368,,,0.768,,,,,0.55,,,37.081,,,,,,,19.356,,29.818,,,,,,,,16.169,0.386,,,0.367,,,,,0.06,,,,1.795,,,0.773,1.549,,,,,,,0.773,,,,,,,,,,,,,,,,,1.225,2.879,,1.332,,,,,,,,,,,,,,,,0.617,,,,,,,,,,4.753,,,,3.534,,,19.066,,,,,,,,,,,,,0.214,,,,,,17.548,,,0.157,1.469,,1.636,,0.299,0.137,,,,,,,,,,0.162,,,,0.396,0.04,,,,0.209,,,,,0.185,,,,0.958,0.862,,,,,,,,,,,,,,1.86,,4.081,,1.33,,,,,,,,,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, % of GDP",,,,,,,,,,,,,,,,,,,,0.013,0.001,,,,,,0.008,,,0.22,,,0.002,,,,,0.005,,,0.043,,,,,,,0.074,,0.072,,,,,,,,0.074,0.008,,,0.011,,,,,0,,,,0.027,,,0.022,0.034,,,,,,,0.007,,,,,,,,,,,,,,,,,0.052,0.038,,0.044,,,,,,,,,,,,,,,,0.001,,,,,,,,,,0.025,,,,0.013,,,0.064,,,,,,,,,,,,,0.001,,,,,,0.023,,,0.002,0.019,,0.069,,0.001,0.002,,,,,,,,,,0.001,,,,0.005,0.001,,,,0.003,,,,,0.006,,,,0.006,0.004,,,,,,,,,,,,,,0.032,,0.114,,0.003,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million NC",,,,,,,,,,,,,,,,473.505,,,1007.1,42.444,,,0.067,,,836,34.339,,,11.976,,,1.01,,,,,5.028,,,,,160,,,,,108790.276,,570193.31,,,,1280,,,,13.527,350.871,,,236,,,,6.401,4.29,,,,3.424,,,50,738.901,,,,,,,18.48,,,,,,,,,,,,,,,,,572.1,661.798,,234024,,,,,,,,,,,,,,,,3.333,,,,,,,,,,4220.504,,,,0.352,,,,,36.081,,,,,,,,,,,0.132,,,,,,27567.497,,,48.6,38.425,,966259.537,,9.483,1084.5,,,,,,,,,,8.514,,,,2.728,0.364,,,,21.58,,,,,298,,,,259,24.3,,,,,,,,,,,,,,554,,19731,55.294,2418.5,,,,,,,,,1607.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million USD PPPs",,,,,,,,,,,,,,,,87.507,,,690.349,53.389,,,0.329,,,0.186,43.057,,,,,,1.445,,,,,7.918,,,,,129.412,,,,,300.004,,482.153,,,,3.386,,,,21.336,27.726,,,32.23,,,,11.451,2.046,,,,6.509,,,55.218,918.745,,,,,,,29.925,,,,,,,,,,,,,,,,,148.726,901.086,,2284.797,,,,,,,,,,,,,,,,0.611,,,,,,,,,,527.646,,,,0.972,,,,,6.221,,,,,,,,,,,0.712,,,,,,11.74,,,27.64,66.576,,1110.023,,5.596,51.009,,,,,,,,,,0.209,,,,5.654,0.624,,,,32.584,,,,,34.089,,,,20.999,1.28,,,,,,,,,,,,,,800.285,,19731,2.968,2.858,,,,,,,,,108.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million constant USD PPPs",,,,,,,,,,,,,,,,81.501,,,653.042,46.99,,,0.305,,,,38.79,,,,,,1.344,,,,,7.364,,,,,121.126,,,,,270.655,,448.458,,,,3.149,,,,19.837,24.374,,,29.735,,,,10.655,1.903,,,,5.84,,,50.495,837.31,,,,,,,26.643,,,,,,,,,,,,,,,,,131.948,816.414,,2132.43,,,,,,,,,,,,,,,,0.569,,,,,,,,,,475.534,,,,0.905,,,,,5.787,,,,,,,,,,,0.66,,,,,,10.919,,,25.335,60.362,,1103.809,,5.168,47.839,,,,,,,,,,0.194,,,,5.271,0.555,,,,29.687,,,,,31.455,,,,19.531,1.191,,,,,,,,,,,,,,736.653,,18351.951,2.761,2.658,,,,,,,,,100.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, % of GERD",,,,,,,,,,,,,,,,1.745,,,,0.415,,,0.526,,,0.021,0.348,,,97.843,,,1.408,,,,,0.756,,,,,0.464,,,,,19.521,,30.025,,,,0.822,,,,16.086,0.412,,,0.409,,,,1.421,0.032,,,,1.194,,,0.768,1.542,,,,,,,1.241,,,,,,,,,,,1.404,,,,,,1.213,2.969,,1.339,,,,,,,,,,,,,,,,0.866,,,,,,,,,,4.554,,,,2.803,,,,,7.649,,,,,,,,,,,0.199,,,,,,19.364,,,0.301,1.721,,1.516,,0.371,0.128,,,,,,,,,,0.028,,,,0.407,0.041,,,,0.168,,,,,0.241,,,,0.408,0.892,,,,,,,,,,,,,,1.81,,4.116,1.238,0.844,,,,,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, % of GDP",,,,,,,,,,,,,,,,0.01,,,0.062,0.013,,,0.001,,,,0.009,,,0.212,,,0.004,,,,,0.006,,,,,0.008,,,,,0.073,,0.075,,,,0.005,,,,0.077,0.008,,,0.012,,,,0.006,0,,,,0.017,,,0.024,0.034,,,,,,,0.01,,,,,,,,,,,,,,,,,0.052,0.041,,0.046,,,,,,,,,,,,,,,,0.001,,,,,,,,,,0.025,,,,0.01,,,,,0.026,,,,,,,,,,,0,,,,,,0.02,,,0.003,0.022,,0.065,,0.001,0.001,,,,,,,,,,0,,,,0.004,0.001,,,,0.002,,,,,0.008,,,,0.002,0.005,,,,,,,,,,,,,,0.03,,0.113,0.004,0.002,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million NC",,,,,,,,,,,,,,,,348.039,,,951.8,40.223,0.2,,,,,999,34.164,,,12.367,,,0.106,125.18,,,,3.129,,,,,158,,,,,92601.325,,627636.071,,,,2499,,,,11.021,267.478,,,239,,,,6.741,,,,,3.444,12.239,,47.2,698.105,,,,,,,18.25,,,,,,,,,,,,,,,,,534.9,627.1,,212709,,6291.266,,,,,,,,,,,,,,6.043,,,,,,,,,,3798.032,,,,0.337,,,,,,,,,,,,,,,,0.003,,,,10.665,,,,130.967,42.4,30.145,,788814.937,,9.739,939.4,,,,,,,,,,8.79,,,,0.922,0.374,,,583.165,21.551,33.3,,,,280,,,,,,,,,,,,,,,,,,,518.1,,18766,68.193,,,,94400,,,,,,1455.199,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
